customer_id,first_name,last_name,email,phone,age,gender,city,state,tenure_months,account_status,plan_type,monthly_revenue,voice_minutes_30d,data_gb_30d,sms_count_30d,last_payment_date,payment_method,overdue_amount,satisfaction_score,nps_score,support_tickets_6m,last_support_date,churn_risk,products_owned,recommended_products
CUST_000001,Danielle,Johnson,danielle.johnson@yahoo.com,232.318.1960,56,Female,East William,Alaska,15,Active,Standard,71.49,169.7,29.24,46,2025-07-16,Credit Card,0.0,2.32,4,3,2025-04-01,Medium,"Mobile Service, Internet, Insurance","Unlimited Data Plan, TV Bundle"
CUST_000002,Jennifer,Miles,jennifer.miles@yahoo.com,479.540.2654,54,Female,Curtisfurt,Connecticut,21,Active,Basic,45.95,131.2,12.69,58,2025-06-26,Credit Card,0.0,1.75,7,5,2025-08-05,High,"Mobile Service, Device Protection","International Package, Device Upgrade"
CUST_000003,Maurice,Baker,maurice.baker@gmail.com,001-278-516-1849x5931,40,Female,Traciebury,Connecticut,62,Active,Standard,66.93,88.8,23.14,43,2025-06-28,Bank Transfer,0.0,3.34,-2,3,2025-04-16,Medium,"Mobile Service, Internet, Cloud Storage","Unlimited Data Plan, TV Bundle"
CUST_000004,Shawn,Flowers,shawn.flowers@gmail.com,(653)541-9283x276,72,Male,Meganton,Iowa,88,Active,Standard,49.74,352.0,32.47,40,2025-08-10,Credit Card,0.0,4.81,-4,2,2025-02-28,Low,"Mobile Service, Internet, International Roaming, Cloud Storage",Unlimited Data Plan
CUST_000005,Linda,Morales,linda.morales@gmail.com,495.537.6724,49,Female,Juliechester,Pennsylvania,115,Active,Premium,125.14,620.9,23.71,40,2025-06-30,Credit Card,0.0,0.7,1,1,2025-05-03,High,Mobile Service,"Unlimited Data Plan, Home Security System"
CUST_000006,Jeffrey,Bright,jeffrey.bright@hotmail.com,610.212.2691x6697,49,Female,Lake Nicoleview,Wyoming,105,Active,Basic,36.54,173.8,20.25,54,2025-07-24,Credit Card,0.0,2.71,-5,2,2025-04-29,Medium,"Mobile Service, International Roaming","Unlimited Data Plan, Device Upgrade"
CUST_000007,Daniel,Graham,daniel.graham@yahoo.com,5484281489,28,Female,Kathrynside,Wyoming,16,Active,Standard,88.1,397.9,9.01,48,2025-08-20,Credit Card,0.0,2.66,9,1,2025-06-04,Medium,"Mobile Service, Internet",TV Bundle
CUST_000008,Samantha,George,samantha.george@yahoo.com,3159430391,65,Female,Port Amandaberg,Florida,69,Suspended,Standard,55.19,301.7,26.19,52,2025-07-26,Credit Card,0.0,4.0,-10,0,,Low,"Mobile Service, Insurance",Unlimited Data Plan
CUST_000009,Thomas,Pierce,thomas.pierce@yahoo.com,596.338.3465x78713,31,Male,Andrewside,Iowa,20,Active,Premium,132.68,71.7,32.2,50,2025-07-19,Credit Card,0.0,3.27,5,1,2025-04-05,Low,"Mobile Service, TV Service, Home Security",Unlimited Data Plan
CUST_000010,Adrian,Zimmerman,adrian.zimmerman@gmail.com,510.451.8347,66,Male,Sanchezfort,Nebraska,44,Suspended,Enterprise,197.82,119.3,7.03,42,2025-06-10,Bank Transfer,0.0,2.61,-9,1,2025-03-12,Medium,"Mobile Service, Internet, Business Solutions",TV Bundle
